Date (dd-mmm-yyyy), Mean Mesor, Uncertainty of Mesor, Mean Amp., Uncertainty of Amp., Mean Phase, Uncertainty of Phase (hr), Mean HRpS, Uncertainty of HRpS, Mean Autocorr., Uncertainty of Autocorr., Number of Data Points, 2 Day Step Count, Existence of Time Zone Information 
18-Oct-2020, 82.652041, 1.710024, 10.573256, 2.458360, 01:41, 0.735130, 0.185364, 0.030116, 0.690579, 0.038713, 369, 26935, 1.000000
19-Oct-2020, 75.773553, 2.100676, 7.803359, 2.924608, 01:35, 1.300520, 0.226493, 0.030923, 0.726868, 0.037261, 345, 16784, 1.000000
20-Oct-2020, 76.220462, 1.615525, 3.114080, 1.676061, 05:25, 3.325198, 0.330602, 0.035697, 0.648660, 0.042163, 345, 16298, 1.000000
21-Oct-2020, 77.314131, 1.303395, 5.561276, 1.601721, 05:55, 1.137203, 0.385040, 0.036218, 0.490190, 0.048262, 334, 20390, 1.000000
22-Oct-2020, 74.712398, 0.974701, 5.501610, 1.270041, 05:30, 0.879045, 0.364869, 0.043218, 0.544599, 0.044250, 368, 13239, 1.000000
23-Oct-2020, 74.474461, 1.179680, 4.905557, 1.685767, 03:56, 1.310626, 0.257488, 0.036011, 0.683461, 0.036886, 401, 13194, 1.000000
24-Oct-2020, 79.095368, 2.255947, 10.038029, 3.354657, 02:33, 1.102772, 0.219260, 0.033267, 0.796967, 0.031818, 376, 18671, 1.000000
25-Oct-2020, 83.668451, 2.019897, 13.324606, 2.739119, 01:15, 0.673099, 0.190588, 0.036546, 0.711806, 0.038240, 345, 22011, 1.000000
26-Oct-2020, 76.812210, 2.711369, 12.780269, 3.995007, 01:55, 0.983900, 0.186827, 0.039584, 0.799820, 0.031966, 362, 17994, 1.000000
27-Oct-2020, 74.577601, 1.250152, 6.324688, 1.780508, 03:55, 0.954309, 0.248856, 0.038188, 0.635268, 0.039849, 389, 16158, 1.000000
28-Oct-2020, 76.249008, 1.352997, 6.225613, 2.011701, 03:05, 1.060818, 0.241273, 0.036483, 0.686647, 0.037156, 394, 18698, 1.000000
29-Oct-2020, 75.906446, 1.455738, 5.106135, 1.798328, 05:23, 1.731900, 0.231233, 0.036749, 0.763117, 0.032365, 410, 14489, 1.000000
30-Oct-2020, 74.311025, 1.578514, 5.972898, 2.068817, 05:02, 1.578591, 0.221808, 0.045098, 0.773150, 0.031289, 412, 10074, 1.000000
31-Oct-2020, 76.862950, 2.261276, 9.244210, 3.330750, 02:10, 1.307442, 0.216420, 0.037803, 0.813910, 0.031312, 380, 15591, 1.000000
01-Nov-2020, 81.274360, 1.994926, 5.989871, 2.485394, 01:14, 1.776525, 0.268796, 0.033467, 0.704076, 0.041657, 325, 22423, 1.000000
02-Nov-2020, 76.819887, 1.307414, 3.523325, 1.692126, 03:06, 2.135607, 0.368033, 0.034003, 0.585423, 0.045358, 344, 17571, 1.000000
03-Nov-2020, 75.055328, 1.053047, 7.466803, 1.534688, 04:59, 0.654314, 0.279155, 0.028926, 0.640865, 0.038837, 398, 16511, 1.000000
04-Nov-2020, 76.966213, 1.287312, 9.723343, 1.855426, 04:53, 0.629944, 0.261606, 0.028653, 0.714553, 0.035336, 402, 19795, 1.000000
05-Nov-2020, 75.292053, 1.659559, 5.462683, 2.187667, 05:11, 1.837587, 0.267984, 0.033586, 0.793365, 0.030724, 402, 13970, 1.000000
06-Nov-2020, 74.508397, 1.648511, 6.664107, 2.104444, 06:00, 1.417386, 0.209487, 0.032977, 0.803147, 0.031168, 399, 11586, 1.000000
07-Nov-2020, 76.490136, 1.882505, 12.586749, 2.858280, 04:05, 0.635403, 0.216576, 0.025178, 0.785589, 0.032750, 379, 22674, 1.000000
08-Nov-2020, 78.262466, 1.124067, 14.251695, 1.739654, 03:18, 0.289157, 0.239667, 0.023078, 0.616322, 0.041479, 374, 32204, 1.000000
09-Nov-2020, 75.595925, 1.714119, 8.255278, 2.582073, 03:32, 0.989570, 0.301326, 0.025954, 0.784522, 0.032823, 382, 21367, 1.000000
10-Nov-2020, 74.219190, 1.138178, 6.060464, 1.590621, 05:09, 0.978013, 0.281614, 0.029526, 0.706201, 0.036092, 402, 14316, 1.000000
11-Nov-2020, 74.875830, 0.935313, 6.585479, 1.350901, 04:53, 0.678878, 0.298068, 0.031933, 0.604502, 0.040764, 404, 15097, 1.000000
12-Nov-2020, 73.460683, 1.050644, 5.058374, 1.511325, 04:00, 0.972422, 0.334649, 0.041582, 0.573061, 0.039446, 389, 13171, 1.000000
13-Nov-2020, 75.854263, 1.692836, 3.962421, 2.154842, 03:01, 3.088566, 0.312096, 0.048215, 0.703351, 0.035346, 354, 13706, 1.000000
14-Nov-2020, 76.516807, 1.618438, 6.925760, 2.463727, 02:54, 1.234232, 0.325819, 0.038093, 0.698387, 0.037511, 352, 22299, 1.000000
15-Nov-2020, 74.549059, 1.018650, 9.627901, 1.556442, 03:43, 0.392014, 0.296870, 0.030418, 0.507443, 0.044868, 378, 26260, 1.000000
16-Nov-2020, 76.804466, 1.674571, 3.046605, 1.728235, 03:01, 4.058593, 0.304620, 0.036541, 0.708194, 0.036316, 390, 18452, 1.000000
17-Nov-2020, 74.180729, 1.434719, 2.733320, 1.405098, 07:47, 3.820515, 0.419354, 0.043832, 0.716783, 0.034781, 409, 15006, 1.000000
18-Nov-2020, 75.751745, 1.319410, 3.059275, 1.601715, 03:37, 2.973647, 0.278789, 0.037488, 0.683346, 0.036314, 410, 18461, 1.000000
19-Nov-2020, 76.556629, 1.509795, 2.825081, 1.522406, 23:48, 3.902253, 0.239839, 0.033435, 0.727588, 0.034566, 409, 17589, 1.000000
20-Nov-2020, 76.907500, 1.839496, 3.080748, 1.756292, 02:30, 4.826542, 0.150010, 0.039176, 0.727587, 0.033761, 399, 13914, 1.000000
21-Nov-2020, 80.423507, 2.189568, 6.953561, 2.700675, 01:13, 1.831954, 0.187400, 0.038330, 0.723671, 0.034843, 377, 26030, 1.000000
22-Nov-2020, 78.537980, 1.816456, 10.089088, 2.551460, 02:20, 0.817486, 0.299952, 0.033802, 0.716907, 0.036237, 371, 29473, 1.000000
23-Nov-2020, 78.073428, 1.938980, 5.712304, 2.280372, 00:12, 2.066953, 0.286957, 0.042781, 0.733600, 0.034702, 387, 18204, 1.000000
24-Nov-2020, 75.770231, 2.235407, 6.238535, 2.999424, 02:17, 2.264653, 0.222599, 0.038597, 0.778258, 0.032435, 380, 15374, 1.000000
25-Nov-2020, 74.955258, 2.368911, 12.133261, 3.474346, 03:31, 0.808069, 0.249029, 0.029127, 0.791013, 0.033037, 344, 19661, 1.000000
26-Nov-2020, 79.146500, 1.397196, 10.358462, 2.016272, 03:08, 0.513052, 0.233680, 0.026930, 0.630155, 0.042178, 347, 23684, 1.000000
27-Nov-2020, 76.907605, 1.130232, 9.656039, 1.711588, 03:40, 0.430862, 0.266092, 0.029802, 0.557654, 0.045214, 368, 24028, 1.000000
28-Nov-2020, 76.356659, 1.207492, 6.203681, 1.850834, 03:45, 0.876190, 0.289246, 0.032420, 0.589667, 0.042784, 381, 24273, 1.000000
29-Nov-2020, 74.921773, 1.308271, 7.730776, 1.946160, 03:03, 0.750606, 0.323276, 0.030536, 0.639700, 0.039882, 384, 25848, 1.000000
30-Nov-2020, 71.598363, 0.935298, 10.942521, 1.272367, 03:12, 0.448110, 0.423395, 0.036792, 0.615518, 0.048905, 279, 18938, 1.000000
